,fire_fly_id,weekend_percentage,Browsers,percentageViewsPerCustomer
1,10013925,16.66666667,Chrome,100
2,10032571,100,Chrome,100
3,10036110,0,Edge,100
4,10056325,0,Safari,100
5,10075000,33.33333333,Edge,100
6,10075589,0,Safari,100
7,10107026,0,Chrome,100
8,10109910,0,Edge,100
9,10132002,0,Safari,100
10,10139315,26.08695652,Safari,100
11,10161439,0,Safari,100
12,10194728,0,Edge,100
13,10233042,100,Firefox,100
14,10250006,50,Chrome,100
15,10261790,24.7706422,Chrome,30.58336423
16,10261790,24.7706422,Edge,0.077246323
17,10261790,24.7706422,Safari,69.33938945
18,10262716,100,Safari,100
19,10269536,66.66666667,Safari,100
20,10292625,33.33333333,Chrome,100
21,10310431,34,Chrome,43.18893201
22,10310431,34,Edge,7.556028546
23,10310431,34,Safari,49.25503944
24,10313338,0,Chrome,100
25,10329025,16.66666667,Safari,100
26,10341220,0,Safari,100
27,10343472,40,Chrome,11.42857143
28,10343472,40,Edge,88.57142857
29,10345800,0,Chrome,53.84615385
30,10345800,0,Edge,46.15384615
31,10383568,50,Chrome,36.70886076
32,10383568,50,Safari,63.29113924
33,10387475,0,Firefox,100
34,10395698,40,Safari,100
35,10396987,100,Chrome,100
36,10403338,60,Edge,98.8380041
37,10403338,60,Safari,1.161995899
38,10412280,18.18181818,Safari,100
39,10413037,20,Chrome,100
40,10414531,50,Chrome,100
41,10416566,0,Edge,100
42,10463664,0,Chrome,100
43,10485207,0,Firefox,100
44,10485279,20.79207921,Safari,100
45,10506794,0,Chrome,100
46,10533589,100,Chrome,100
47,10540329,0,Chrome,100
48,10541141,27.27272727,Firefox,100
49,10544361,0,Edge,52.83018868
50,10544361,0,Safari,47.16981132
51,10550798,25,Chrome,100
52,10554211,0,Chrome,100
53,10581154,25,Chrome,100
54,10590550,0,Chrome,100
55,10618514,28.57142857,Chrome,88.02488336
56,10618514,28.57142857,Edge,10.26438569
57,10618514,28.57142857,Firefox,1.710730949
58,10622158,100,Edge,100
59,10680038,33.33333333,Chrome,100
60,10695559,33.33333333,Edge,100
61,10714117,25,Edge,100
62,10715587,0,Chrome,100
63,10716309,0,Edge,100
64,10721392,0,Chrome,100
65,10721417,16.66666667,Chrome,98.54304636
66,10721417,16.66666667,Safari,1.456953642
67,10722114,0,Chrome,31.08935129
68,10722114,0,Safari,68.91064871
69,10727842,0,Safari,100
70,10735654,21.42857143,Chrome,3.657074341
71,10735654,21.42857143,Edge,96.34292566
72,10737586,62.5,Edge,100
73,10738176,33.33333333,Edge,100
74,10742764,0,Safari,100
75,10744640,0,Safari,100
76,10747371,35.11111111,Chrome,85.86441183
77,10747371,35.11111111,Edge,7.166926579
78,10747371,35.11111111,Safari,6.968661594
79,10750363,10,Chrome,10.52631579
80,10750363,10,Firefox,89.47368421
81,10752723,0,Edge,100
82,10752724,16.66666667,Edge,90.90909091
83,10752724,16.66666667,Safari,9.090909091
84,10757031,27.27272727,Edge,100
85,10863362,14.28571429,Firefox,100
86,10896261,100,Safari,100
87,10916823,100,Chrome,100
88,10960571,42.15686275,Chrome,68.73409129
89,10960571,42.15686275,Safari,31.26590871
90,11053090,0,Safari,100
91,11096481,0,Edge,100
92,11167276,0,Chrome,100
93,11167446,0,Chrome,100
94,11168457,0,Chrome,100
95,11169185,100,Chrome,100
96,11169223,0,Chrome,100
97,11169232,0,Firefox,100
98,11172661,100,Chrome,100
99,11188160,100,Safari,100
100,11225376,0,Edge,100
101,11244912,25,Safari,100
