fire_fly_id,referrer_type_value,percentbyref
157602,Typed/Bookmarked,1
163342,Other Web Sites,1
163342,Typed/Bookmarked,1
164038,Inside Your Site,1
164038,Typed/Bookmarked,1
172341,Other Web Sites,1
172341,Typed/Bookmarked,1
186718,Typed/Bookmarked,1
202085,Inside Your Site,1
202085,Typed/Bookmarked,1
222970,Typed/Bookmarked,1
249430,Inside Your Site,1
249430,Typed/Bookmarked,1
263422,Inside Your Site,1
284009,Typed/Bookmarked,1
295112,Inside Your Site,0.25
295112,Search Engines,1
295112,Typed/Bookmarked,0.75
445409,Inside Your Site,0.5
445409,Search Engines,0.5
445409,Typed/Bookmarked,0.5
584489,Inside Your Site,0.5
584489,Search Engines,0.5
586691,Inside Your Site,0.5
586691,Typed/Bookmarked,0.5
587257,Inside Your Site,1
587257,Typed/Bookmarked,1
587720,Inside Your Site,0.7012987012987013
587720,Other Web Sites,0.012987012987012988
587720,Search Engines,0.11688311688311688
587720,Typed/Bookmarked,0.8571428571428571
588023,Inside Your Site,0.2
588023,Other Web Sites,0.2
588023,Typed/Bookmarked,0.8
588103,Inside Your Site,0.2
588103,Typed/Bookmarked,1
588570,Inside Your Site,0.2857142857142857
588570,Typed/Bookmarked,1
588817,Typed/Bookmarked,1
591589,Search Engines,0.2
591589,Social Networks,0.6
591589,Typed/Bookmarked,0.4
593549,Inside Your Site,1
595732,Inside Your Site,0.14285714285714285
595732,Search Engines,0.21428571428571427
595732,Social Networks,0.35714285714285715
595732,Typed/Bookmarked,0.7142857142857143
596728,Inside Your Site,0.7692307692307693
596728,Search Engines,0.5384615384615384
596728,Typed/Bookmarked,0.3076923076923077
597631,Typed/Bookmarked,1
599515,Inside Your Site,0.6666666666666666
599515,Typed/Bookmarked,0.8888888888888888
601268,Typed/Bookmarked,1
602764,Search Engines,0.5
602764,Social Networks,0.5
602764,Typed/Bookmarked,1
606912,Inside Your Site,0.15503875968992248
606912,Search Engines,0.03875968992248062
606912,Typed/Bookmarked,0.9767441860465116
614148,Inside Your Site,1
634625,Typed/Bookmarked,1
637614,Typed/Bookmarked,1
638866,Inside Your Site,1
638866,Typed/Bookmarked,1
639500,Inside Your Site,1
646505,Social Networks,1
646505,Typed/Bookmarked,1
648409,Typed/Bookmarked,1
2361483,Search Engines,1
2386543,Inside Your Site,1
2386543,Typed/Bookmarked,1
2388932,Search Engines,1
2394169,Inside Your Site,0.5
2394169,Search Engines,0.5
2394169,Typed/Bookmarked,0.25
2394994,Inside Your Site,0.18857142857142858
2394994,Search Engines,0.005714285714285714
2394994,Typed/Bookmarked,0.9885714285714285
2397084,Typed/Bookmarked,1
2400082,Inside Your Site,0.13812154696132597
2400082,Other Web Sites,0.055248618784530384
2400082,Search Engines,0.055248618784530384
2400082,Typed/Bookmarked,0.9281767955801105
2403751,Inside Your Site,1
2403751,Typed/Bookmarked,1
2420606,Typed/Bookmarked,1
2423488,Social Networks,1
2423488,Typed/Bookmarked,1
2435362,Typed/Bookmarked,1
2437974,Typed/Bookmarked,1
2444124,Typed/Bookmarked,1
2464248,Inside Your Site,1
2464248,Typed/Bookmarked,1
2470105,Typed/Bookmarked,1
2474781,Inside Your Site,1
2474781,Typed/Bookmarked,1
2479826,Social Networks,1
2480960,Inside Your Site,1
2480960,Typed/Bookmarked,1
2483323,Social Networks,1
2490732,Search Engines,1
2494201,Search Engines,1
2494201,Typed/Bookmarked,1
2511770,Typed/Bookmarked,1
2513569,Inside Your Site,1
2513569,Typed/Bookmarked,1
2524238,Search Engines,1
2528788,Inside Your Site,1
2528788,Typed/Bookmarked,1
2537533,Typed/Bookmarked,1
2538923,Inside Your Site,0.5
2538923,Typed/Bookmarked,0.5
2541061,Typed/Bookmarked,1
