"fire_fly_id","cluster"
157602,2
163342,2
164038,5
172341,6
186718,5
202085,5
222970,2
249430,5
263422,5
284009,2
295112,1
445409,5
584489,6
586691,1
587257,2
587720,1
588023,5
588103,1
588570,1
588817,2
591589,2
593549,5
595732,1
596728,4
597631,2
599515,4
601268,1
602764,2
606912,3
614148,5
634625,2
637614,1
638866,2
639500,5
646505,1
648409,2
2361483,2
2386543,5
2388932,2
2394169,1
2394994,1
2397084,5
2400082,2
2403751,5
2420606,1
2423488,1
2435362,5
2437974,1
2444124,2
2464248,5
2470105,2
2474781,5
2479826,5
2480960,5
2483323,5
2490732,1
2494201,1
2511770,5
2513569,5
2524238,3
2528788,5
2537533,5
2538923,5
2541061,5
2547093,2
2550216,5
2550733,5
2554287,5
2561437,2
2601448,5
2603094,2
2606287,2
2606601,1
2607294,5
2611706,5
2621764,1
2629405,5
2630258,2
2638702,2
2639125,1
2642052,2
2650872,2
2653307,5
2660604,5
2672800,1
2685312,2
2685503,1
2687404,3
2688060,1
2692656,2
2693121,5
2695914,2
2696336,4
2698184,1
2700683,1
2701734,2
2702483,5
2702865,2
2704708,2
2707029,2
2710940,1
2712607,2
2725581,2
2732435,2
2733541,5
2734627,2
2735876,5
2756368,5
2758674,2
2765622,1
2770543,2
2776045,2
2778618,5
2786821,2
2792078,5
2806513,5
2811929,5
2814943,5
2821276,5
2821675,2
2834446,1
2834990,2
2853377,1
2855340,2
2865352,2
2869006,5
2873980,5
2875288,1
2875498,2
2875814,1
2877060,1
2878031,5
2878485,1
2880996,1
2885121,2
2892953,1
2902537,5
2908577,5
2916407,2
2944976,2
2953589,1
2953991,1
2958764,2
2965416,2
2966771,5
2969646,2
2970610,3
2986148,2
2986923,1
2996511,5
3008370,5
3012151,1
3012376,5
3016748,5
3018651,2
3021451,5
3028843,5
3034002,1
3035612,2
3036403,5
3064824,5
3065097,5
3067510,2
3088933,5
3090320,5
3105488,5
3112401,2
3145943,6
3149644,2
3150918,2
3151121,1
3152213,4
3152947,1
3152986,4
3153062,1
3153429,2
3153597,5
3155230,4
3155295,2
3155398,2
3155555,1
3155560,5
3155581,2
3155623,1
3155705,3
3155718,3
3155731,3
3155777,5
3155850,4
3160086,5
3160339,5
3160445,4
3160477,1
3160512,1
3160561,1
3160706,5
3160755,5
3160763,2
3160805,4
3160816,2
3160845,5
3160892,1
3161220,6
3161349,3
3161355,5
3161375,1
3161401,5
3161412,2
3161416,2
3161595,5
3161707,2
3161713,4
3161833,5
3162002,5
3162050,5
3162129,5
3162203,5
3162213,5
3162244,1
3162261,5
3162347,5
3162357,5
3162358,2
3162376,5
3162413,5
3162416,5
3162432,2
3162486,5
3162504,5
3162551,5
3162625,3
3162686,1
3162706,5
