"","fire_fly_id","Breadth Number","Breadth Name","Temporal Number","Temporal Name"
"1",157602,3,"Low Subsections",2,"Older but Frequent Visits"
"2",163342,1,"High Breadth All Around",2,"Older but Frequent Visits"
"3",164038,2,"Average Breadth",2,"Older but Frequent Visits"
"4",172341,2,"Average Breadth",2,"Older but Frequent Visits"
"5",186718,2,"Average Breadth",2,"Older but Frequent Visits"
"6",202085,3,"Low Subsections",2,"Older but Frequent Visits"
"7",222970,3,"Low Subsections",2,"Older but Frequent Visits"
"8",249430,1,"High Breadth All Around",2,"Older but Frequent Visits"
"9",263422,3,"Low Subsections",2,"Older but Frequent Visits"
"10",284009,3,"Low Subsections",2,"Older but Frequent Visits"
"11",295112,2,"Average Breadth",2,"Older but Frequent Visits"
"12",445409,2,"Average Breadth",2,"Older but Frequent Visits"
"13",584489,2,"Average Breadth",2,"Older but Frequent Visits"
"14",586691,2,"Average Breadth",2,"Older but Frequent Visits"
"15",587257,1,"High Breadth All Around",2,"Older but Frequent Visits"
"16",587720,2,"Average Breadth",1,"Newer but Infrequent Visits"
"17",588023,3,"Low Subsections",1,"Newer but Infrequent Visits"
"18",588103,3,"Low Subsections",2,"Older but Frequent Visits"
"19",588570,2,"Average Breadth",2,"Older but Frequent Visits"
"20",588817,2,"Average Breadth",2,"Older but Frequent Visits"
"21",591589,2,"Average Breadth",2,"Older but Frequent Visits"
"22",593549,3,"Low Subsections",2,"Older but Frequent Visits"
"23",595732,2,"Average Breadth",1,"Newer but Infrequent Visits"
"24",596728,3,"Low Subsections",1,"Newer but Infrequent Visits"
"25",597631,2,"Average Breadth",2,"Older but Frequent Visits"
"26",599515,3,"Low Subsections",3,"Average Temporal"
"27",601268,2,"Average Breadth",2,"Older but Frequent Visits"
"28",602764,1,"High Breadth All Around",2,"Older but Frequent Visits"
"29",606912,2,"Average Breadth",3,"Average Temporal"
"30",614148,3,"Low Subsections",3,"Average Temporal"
"31",634625,2,"Average Breadth",2,"Older but Frequent Visits"
"32",637614,2,"Average Breadth",2,"Older but Frequent Visits"
"33",638866,1,"High Breadth All Around",2,"Older but Frequent Visits"
"34",639500,3,"Low Subsections",2,"Older but Frequent Visits"
