"","features.fire_fly_id","FINALCONTENT_FIT.cluster"
"1",157602,3
"2",163342,3
"3",164038,3
"4",172341,4
"5",186718,3
"6",202085,3
"7",222970,4
"8",249430,3
"9",263422,3
"10",284009,4
"11",295112,2
"12",445409,3
"13",584489,4
"14",586691,4
"15",587257,2
"16",587720,2
"17",588023,3
"18",588103,4
"19",588570,2
"20",588817,4
"21",591589,4
"22",593549,3
"23",595732,3
"24",596728,1
"25",597631,4
"26",599515,1
"27",601268,4
"28",602764,3
"29",606912,2
"30",614148,3
"31",634625,4
"32",637614,4
"33",638866,4
"34",639500,3
"35",646505,4
"36",648409,4
"37",2361483,4
"38",2386543,3
"39",2388932,3
"40",2394169,3
"41",2394994,2
"42",2397084,4
"43",2400082,2
"44",2403751,3
"45",2420606,4
"46",2423488,2
"47",2435362,3
"48",2437974,3
"49",2444124,4
"50",2464248,3
"51",2470105,4
"52",2474781,3
"53",2479826,4
"54",2480960,3
"55",2483323,4
"56",2490732,4
"57",2494201,4
"58",2511770,3
"59",2513569,3
"60",2524238,4
"61",2528788,3
"62",2537533,4
"63",2538923,3
"64",2541061,3
"65",2547093,4
"66",2550216,2
"67",2550733,3
"68",2554287,3
"69",2561437,4
"70",2601448,3
"71",2603094,4
"72",2606287,4
"73",2606601,2
"74",2607294,3
"75",2611706,3
"76",2621764,3
"77",2629405,3
"78",2630258,4
"79",2638702,4
"80",2639125,3
"81",2642052,2
"82",2650872,4
"83",2653307,3
"84",2660604,4
"85",2672800,3
"86",2685312,3
"87",2685503,2
"88",2687404,2
"89",2688060,4
"90",2692656,4
"91",2693121,3
"92",2695914,4
"93",2696336,1
"94",2698184,4
"95",2700683,4
"96",2701734,3
"97",2702483,3
"98",2702865,3
"99",2704708,4
"100",2707029,4
"101",2710940,4
"102",2712607,4
"103",2725581,2
"104",2732435,4
"105",2733541,3
"106",2734627,4
"107",2735876,3
"108",2756368,3
"109",2758674,4
"110",2765622,3
"111",2770543,3
"112",2776045,4
"113",2778618,3
"114",2786821,4
"115",2792078,3
"116",2806513,3
"117",2811929,3
"118",2814943,3
"119",2821276,3
"120",2821675,2
"121",2834446,3
"122",2834990,3
"123",2853377,4
"124",2855340,4
"125",2865352,4
"126",2869006,3
"127",2873980,3
"128",2875288,4
"129",2875498,2
"130",2875814,2
"131",2877060,4
"132",2878031,3
"133",2878485,4
"134",2880996,4
"135",2885121,4
"136",2892953,4
"137",2902537,3
"138",2908577,3
"139",2916407,4
"140",2944976,4
"141",2953589,4
"142",2953991,3
"143",2958764,4
"144",2965416,4
"145",2966771,3
"146",2969646,4
"147",2970610,4
"148",2986148,4
"149",2986923,4
"150",2996511,4
"151",3008370,4
"152",3012151,4
"153",3012376,3
"154",3016748,3
"155",3018651,4
"156",3021451,3
"157",3028843,3
"158",3034002,2
"159",3035612,3
"160",3036403,3
"161",3064824,3
"162",3065097,3
"163",3067510,3
"164",3088933,3
"165",3090320,3
"166",3105488,3
"167",3112401,4
"168",3145943,4
"169",3149644,4
"170",3150918,4
"171",3151121,3
"172",3152213,1
"173",3152947,4
"174",3152986,3
"175",3153062,4
"176",3153429,4
"177",3153597,3
"178",3155230,1
"179",3155295,2
"180",3155398,3
"181",3155555,2
"182",3155560,3
"183",3155581,2
"184",3155623,3
"185",3155705,2
"186",3155718,2
"187",3155731,2
"188",3155777,3
"189",3155850,1
"190",3160086,3
"191",3160339,3
"192",3160445,1
"193",3160477,2
"194",3160512,4
"195",3160561,2
"196",3160706,3
"197",3160755,3
"198",3160763,2
"199",3160805,1
"200",3160816,2
"201",3160845,3
"202",3160892,3
"203",3161220,2
"204",3161349,2
"205",3161355,3
"206",3161375,2
"207",3161401,3
"208",3161412,3
"209",3161416,2
"210",3161595,3
"211",3161707,2
"212",3161713,1
"213",3161833,3
"214",3162002,2
"215",3162050,3
"216",3162129,2
"217",3162203,3
"218",3162213,3
"219",3162244,3
"220",3162261,2
"221",3162347,3
"222",3162357,3
"223",3162358,2
"224",3162376,3
"225",3162413,3
"226",3162416,3
"227",3162432,2
"228",3162486,3
"229",3162504,2
"230",3162551,3
"231",3162625,2
"232",3162686,3
"233",3162706,3
"234",3162731,1
"235",3162773,2
"236",3162807,4
"237",3162856,3
"238",3162894,2
"239",3162933,3
"240",3162981,2
"241",3163064,3
"242",3163085,2
"243",3163135,2
"244",3163136,1
"245",3163345,2
"246",3163496,3
"247",3163541,1
"248",3163622,4
"249",3163666,2
"250",3163789,2
"251",3163897,2
"252",3163930,3
"253",3163988,3
"254",3164032,3
"255",3164061,3
"256",3164165,3
"257",3164171,3
"258",3164303,2
"259",3164304,2
"260",3164343,3
"261",3164391,3
"262",3164410,3
"263",3164507,1
"264",3164628,2
"265",3164758,2
"266",3164787,2
"267",3164799,2
"268",3164904,2
"269",3165041,2
"270",3165086,2
"271",3165112,1
"272",3165291,3
"273",3165325,3
"274",3165336,3
"275",3165344,3
"276",3165397,2
"277",3165416,2
"278",3165421,2
"279",3165554,3
"280",3165618,2
"281",3165696,3
"282",3165721,1
"283",3165736,3
"284",3165752,3
"285",3165848,4
"286",3166029,1
"287",3166046,3
"288",3166212,3
"289",3166219,1
"290",3166222,3
"291",3166338,1
"292",3166462,3
"293",3166537,2
"294",3166569,1
"295",3166692,2
"296",3166912,3
"297",3166991,3
"298",3167030,3
"299",3167138,2
"300",3167180,1
"301",3167234,3
"302",3167244,1
"303",3167333,3
"304",3167335,3
"305",3167379,2
"306",3167557,1
"307",3167681,2
"308",3167753,2
"309",3167931,3
"310",3168004,4
"311",3168240,3
"312",3168247,1
"313",3168292,1
"314",3168340,3
"315",3168407,3
"316",3168471,2
"317",3168601,2
"318",3168661,3
"319",3168734,2
"320",3168765,2
"321",3168794,1
"322",3168950,3
"323",3168995,4
"324",3169136,2
"325",3169357,3
"326",3169361,3
"327",3169564,3
"328",3169567,3
"329",3169617,2
"330",3169718,2
"331",3169764,4
"332",3169993,1
"333",3170183,2
"334",3170225,3
"335",3170257,4
"336",3170370,3
"337",3170416,3
"338",3170471,2
"339",3170560,3
"340",3170565,2
"341",3170696,1
"342",3170726,2
"343",3170734,2
"344",3170745,3
"345",3170918,3
"346",3170950,3
"347",3170961,2
"348",3171122,3
"349",3171170,2
"350",3171205,2
"351",3171207,3
"352",3171418,2
"353",3171598,3
"354",3171659,4
"355",3171686,4
"356",3171721,2
"357",3171883,2
"358",3171910,3
"359",3171924,3
"360",3171935,4
"361",3171992,3
"362",3172036,3
"363",3172141,1
"364",3172208,3
"365",3172377,2
"366",3172699,2
"367",3172789,2
"368",3172812,2
"369",3172832,1
"370",3172864,2
"371",3172929,3
"372",3172951,1
"373",3173151,3
"374",3173307,3
"375",3173405,3
"376",3173543,2
"377",3173603,2
"378",3173811,1
"379",3173852,2
"380",3173880,4
"381",3173929,1
"382",3173980,3
"383",3174037,3
"384",3174457,3
"385",3174488,1
"386",3174635,4
"387",3174711,3
"388",3174755,3
"389",3174781,3
"390",3174844,3
"391",3174965,3
"392",3174992,4
"393",3175032,2
"394",3175036,1
"395",3175072,3
"396",3175110,3
"397",3175154,3
"398",3175214,3
"399",3175242,3
"400",3175528,2
"401",3175580,1
"402",3175583,1
"403",3175695,2
"404",3175705,3
"405",3175864,3
"406",3175937,2
"407",3176032,1
"408",3176115,1
"409",3176230,4
"410",3176250,1
"411",3176449,2
"412",3176457,1
"413",3176477,3
"414",3176673,3
"415",3176702,2
"416",3177052,2
"417",3177105,3
"418",3177167,3
"419",3177183,2
"420",3177196,3
"421",3177222,3
"422",3177326,3
"423",3177388,2
"424",3177411,3
"425",3177414,3
"426",3177531,2
"427",3177577,2
"428",3177693,3
"429",3177748,3
"430",3177750,2
"431",3177919,3
"432",3178155,1
"433",3178565,3
"434",3178584,3
"435",3178612,2
"436",3178666,2
"437",3178681,2
"438",3178684,3
"439",3178729,4
"440",3178863,2
"441",3178954,3
"442",3179015,2
"443",3179019,1
"444",3179040,3
"445",3179287,3
"446",3179598,2
"447",3179604,2
"448",3179658,1
"449",3179775,2
"450",3179918,2
"451",3179956,3
"452",3179991,1
"453",3180038,3
"454",3180060,4
"455",3180125,3
"456",3180136,1
"457",3180230,3
"458",3180315,2
"459",3180360,1
"460",3180475,3
"461",3180650,1
"462",3180654,2
"463",3180670,3
"464",3180682,3
"465",3180726,4
"466",3180973,3
"467",3180977,2
"468",3181193,3
"469",3181344,2
"470",3181360,3
"471",3181374,3
"472",3181432,3
"473",3181460,2
"474",3181476,1
"475",3181589,3
"476",3181751,4
"477",3181770,3
"478",3181858,3
"479",3181911,2
"480",3182111,2
"481",3182124,2
"482",3182155,3
"483",3182301,3
"484",3182378,4
"485",3182398,3
"486",3182415,2
"487",3182547,2
"488",3182566,3
"489",3182736,1
"490",3182907,2
"491",3182918,2
"492",3182991,3
"493",3183115,2
"494",3183250,2
"495",3187146,3
"496",3187242,3
"497",3187334,2
"498",3187371,2
"499",3187655,3
"500",3187732,2
"501",3187830,2
"502",3188109,1
"503",3188126,3
"504",3188213,2
"505",3188474,3
"506",3188520,2
"507",3188575,2
"508",3188955,3
"509",3189034,3
"510",3189153,3
"511",3189205,1
"512",3189217,3
"513",3189218,3
"514",3189490,1
"515",3189499,3
"516",3189630,3
"517",3189637,3
"518",3189723,2
"519",3189759,3
"520",3189806,3
"521",3189820,4
"522",3189931,2
"523",3189934,2
"524",3189935,2
"525",3189945,2
"526",3189954,4
"527",3190032,2
"528",3190070,2
"529",3190087,1
"530",3190178,3
"531",3190210,2
"532",3190394,3
"533",3190408,3
"534",3190508,3
"535",3190770,3
"536",3190925,3
"537",3190952,3
"538",3190993,2
"539",3191055,3
"540",3191398,2
"541",3191442,2
"542",3191702,3
"543",3191875,4
"544",3191879,3
"545",3191898,2
"546",3191967,3
"547",3192047,3
"548",3192067,1
"549",3192081,2
"550",3192161,3
"551",3192433,3
"552",3192447,3
"553",3192670,1
"554",3192726,2
"555",3192817,3
"556",3193039,3
"557",3193145,1
"558",3193328,2
"559",3193523,2
"560",3193560,2
"561",3193824,2
"562",3193852,4
"563",3193979,3
"564",3194130,3
"565",3194134,4
"566",3194310,3
"567",3194489,3
"568",3194761,2
"569",3194813,4
"570",3194822,3
"571",3194830,2
"572",3194972,1
"573",3195201,2
"574",3195358,2
"575",3195456,1
"576",3195901,2
"577",3196141,2
"578",3196432,3
"579",3196467,4
"580",3196509,2
"581",3196554,1
"582",3196644,3
"583",3196733,2
"584",3196738,1
"585",3197059,2
"586",3197121,2
"587",3197152,3
"588",3197224,2
"589",3197503,2
"590",3197599,2
"591",3198276,2
"592",3198502,1
"593",3198626,4
"594",3198693,2
"595",3198766,1
"596",3199121,2
"597",3199129,3
"598",3199151,2
"599",3199188,2
"600",3199338,2
"601",3199528,1
"602",3200026,2
"603",3200234,3
"604",3200380,4
"605",3200729,2
"606",3200831,2
"607",3201085,3
"608",3201356,3
"609",3201743,3
"610",3202104,2
"611",3202145,3
"612",3202426,2
"613",3202428,3
"614",3202496,4
"615",3202645,4
"616",3202882,1
"617",3203044,2
"618",3203059,1
"619",3203207,3
"620",3203234,1
"621",3203456,3
"622",3203510,3
"623",3203519,1
"624",3203621,2
"625",3203864,2
"626",3203932,2
"627",3204100,3
"628",3204250,3
"629",3204644,3
"630",3205013,2
"631",3205133,1
"632",3205340,3
"633",3205416,2
"634",3205477,2
"635",3205545,3
"636",3205879,1
"637",3206105,2
"638",3206182,3
"639",3206249,2
"640",3206383,3
"641",3206591,3
"642",3206635,2
"643",3206695,2
"644",3207083,2
"645",3207130,2
"646",3207254,2
"647",3207528,2
"648",3215375,4
"649",3215454,3
"650",3215701,3
"651",3216050,1
"652",3216207,3
"653",3216253,2
"654",3216257,4
"655",3216260,2
"656",3216653,2
"657",3217024,2
"658",3217148,3
"659",3217297,2
"660",3217409,4
"661",3217419,3
"662",3217864,4
"663",3217899,2
"664",3218041,2
"665",3218284,3
"666",3218342,1
"667",3218442,3
"668",3219221,3
"669",3219280,3
"670",3219374,2
"671",3219423,3
"672",3223311,4
"673",3223707,3
"674",3223772,4
"675",3224275,1
"676",3224843,2
"677",3225494,2
"678",3225676,1
"679",3228137,2
"680",3230030,2
"681",3230199,2
"682",3235216,2
"683",3238043,3
"684",3238187,3
"685",3241277,3
"686",3241561,3
"687",3241602,3
"688",3241619,2
"689",3241755,3
"690",3242073,3
"691",3242111,3
"692",3242340,2
"693",3242481,3
"694",3242513,3
"695",3242598,3
"696",3242755,2
"697",3243351,1
"698",3243673,4
"699",3243713,3
"700",3243922,1
"701",3243934,1
"702",3244354,3
"703",3244508,1
"704",3244649,3
"705",3244714,4
"706",3244854,2
"707",3245114,1
"708",3245392,3
"709",3245673,1
"710",3245807,3
"711",3245945,2
"712",3245977,3
"713",3246243,2
"714",3246513,2
"715",3246528,2
"716",3246574,4
"717",3247077,1
"718",3247086,3
"719",3247282,3
"720",3247381,4
"721",3247482,2
"722",3247674,1
"723",3248189,3
"724",3248257,1
"725",3248262,1
"726",3248483,2
"727",3248577,2
"728",3248715,3
"729",3249196,2
"730",3249317,2
"731",3249411,2
"732",3249448,3
"733",3249819,1
"734",3249902,3
"735",3250039,4
"736",3250212,2
"737",3250414,3
"738",3250463,1
"739",3250952,2
"740",3251166,2
"741",3251409,3
"742",3251633,2
"743",3251871,3
"744",3251977,2
"745",3251993,1
"746",3252110,4
"747",3252811,2
"748",3253197,2
"749",3253657,3
"750",3253658,3
"751",3253672,3
"752",3253691,1
"753",3253768,2
"754",3254236,3
"755",3254570,3
"756",3254615,3
"757",3254721,3
"758",3254741,3
"759",3254767,1
"760",3255070,2
"761",3255081,2
"762",3255424,1
"763",3255444,2
"764",3255558,3
"765",3255612,2
"766",3255779,3
"767",3255928,2
"768",3255973,2
"769",3256074,1
"770",3256680,2
"771",3257101,4
"772",3257571,1
"773",3257621,3
"774",3257711,3
"775",3259140,2
"776",3259492,4
"777",3259699,3
"778",3260234,2
"779",3260764,2
"780",3261325,2
"781",3261338,2
"782",3261687,2
"783",3261940,2
"784",3262141,1
"785",3262190,2
"786",3262664,4
"787",3262736,3
"788",3262746,2
"789",3263127,1
"790",3263188,2
"791",3263640,2
"792",3263917,1
"793",3264584,3
"794",3264768,3
"795",3264850,2
"796",3264902,2
"797",3265506,4
"798",3265538,4
"799",3265692,1
"800",3266027,1
"801",3266224,2
"802",3266310,3
"803",3266402,2
"804",3266739,4
"805",3267100,2
"806",3267235,1
"807",3268083,1
"808",3268569,3
"809",3268664,2
"810",3268753,1
"811",3269672,2
"812",3270846,2
"813",3270986,3
"814",3271458,3
"815",3271557,3
"816",3271601,2
"817",3271616,4
"818",3273195,3
"819",3273230,3
"820",3273479,2
"821",3273998,2
"822",3274465,3
"823",3275482,3
"824",3275783,4
"825",3276079,2
"826",3276092,4
"827",3276393,2
"828",3276410,1
"829",3276988,2
"830",3277137,3
"831",3277290,1
"832",3277979,3
"833",3278053,3
"834",3278062,2
"835",3278234,3
"836",3278244,3
"837",3278456,4
"838",3278765,3
"839",3278844,3
"840",3278877,2
"841",3278887,4
"842",3278911,2
"843",3278917,2
"844",3279084,2
"845",3279807,2
"846",3280066,3
"847",3280218,2
"848",3280291,4
"849",3280320,1
"850",3280471,3
"851",3280747,3
"852",3280886,3
"853",3281016,3
"854",3281543,3
"855",3282433,3
"856",3283415,2
"857",3284005,3
"858",3284110,4
"859",3284144,4
"860",3284181,4
"861",3284259,3
"862",3284311,2
"863",3285285,3
"864",3285439,2
"865",3285668,3
"866",3286712,3
"867",3287210,2
"868",3289338,4
"869",3289854,2
"870",3290218,3
"871",3290313,3
"872",3291370,3
"873",3291604,3
"874",3292546,3
"875",3293244,2
"876",3293663,2
"877",3294687,3
"878",3295263,2
"879",3295659,3
"880",3295732,1
"881",3296463,2
"882",3296545,1
"883",3297475,2
"884",3297691,3
"885",3298013,2
"886",3298402,3
"887",3298551,2
"888",3298759,3
"889",3298848,2
"890",3298992,3
"891",3299377,2
"892",3299628,1
"893",3299742,3
"894",3300770,2
"895",3301012,2
"896",3301105,3
"897",3302019,3
"898",3302022,1
"899",3302367,2
"900",3302749,3
"901",3302763,3
"902",3303320,3
"903",3304826,3
"904",3304924,2
"905",3306439,2
"906",3306726,3
"907",3308313,4
"908",3309625,3
"909",3309773,3
"910",3309910,3
"911",3311292,1
"912",3311797,2
"913",3312179,3
"914",3312404,3
"915",3312903,3
"916",3313072,1
"917",3313421,3
"918",3313772,2
"919",3313790,3
"920",3313970,4
"921",3314035,3
"922",3315392,3
"923",3315561,3
"924",3316603,3
"925",3316736,2
"926",3316805,4
"927",3317224,3
"928",3318538,3
"929",3323166,3
"930",3323446,3
"931",3323459,3
"932",3325014,2
"933",3325556,2
"934",3328127,1
"935",3328146,3
"936",3328219,3
"937",3328803,3
"938",3329218,2
"939",3329264,2
"940",3329887,3
"941",3331128,1
"942",3331198,3
"943",3331300,3
"944",3331479,2
"945",3333317,3
"946",3333366,3
"947",3333904,3
"948",3334204,2
"949",3334556,2
"950",3335158,3
"951",3335346,4
"952",3335467,2
"953",3335972,2
"954",3336140,3
"955",3337118,4
"956",3337217,2
"957",3338244,3
"958",3338596,2
"959",3339147,2
"960",3339208,2
"961",3340213,2
"962",3340247,2
"963",3340274,3
"964",3341058,1
"965",3341236,3
"966",3341372,2
"967",3341411,3
"968",3343195,4
"969",3343228,3
"970",3343397,3
"971",3343709,4
"972",3348251,3
"973",3349092,2
"974",3349583,3
"975",3350980,3
"976",3351147,3
"977",3351390,3
"978",3353724,2
"979",3353996,2
"980",3354792,3
"981",3354985,2
"982",3355019,3
"983",3356039,2
"984",3356331,3
"985",3356746,2
"986",3356769,3
"987",3356790,3
"988",3357089,2
"989",3357334,2
"990",3357343,3
"991",3357388,1
"992",3357527,2
"993",3358400,3
"994",3359325,2
"995",3368008,3
"996",3379130,4
"997",3380530,2
"998",3380615,2
"999",3380665,3
"1000",3381575,3
"1001",3381831,2
"1002",3382374,4
"1003",3384526,3
"1004",3384827,2
"1005",3384838,1
"1006",3386420,3
"1007",3387268,2
"1008",3389118,3
"1009",3389266,3
"1010",3390092,3
"1011",3390400,2
"1012",3390540,3
"1013",3390904,1
"1014",3391624,2
"1015",3392036,2
"1016",3393829,3
"1017",3396482,3
"1018",3397924,3
"1019",3398456,3
"1020",3399833,2
"1021",3399916,3
"1022",3400000,1
"1023",3400156,1
"1024",3400508,3
"1025",3402038,2
"1026",3402232,3
"1027",3402359,2
"1028",3402662,3
"1029",3402742,3
"1030",3403531,2
"1031",3403561,3
"1032",3403653,2
"1033",3403734,3
"1034",3404051,2
"1035",3404266,4
"1036",3404476,2
"1037",3404948,3
"1038",3407302,3
"1039",3407873,3
"1040",3412184,2
"1041",3412257,2
"1042",3413105,2
"1043",3414461,2
"1044",3415096,3
"1045",3415322,4
"1046",3418823,3
"1047",3418829,3
"1048",3419553,3
"1049",3422204,3
"1050",3422680,2
"1051",3422745,3
"1052",3422858,3
"1053",3422893,3
"1054",3422941,1
"1055",3423040,2
"1056",3423580,4
"1057",3423705,4
"1058",3424193,3
"1059",3424677,2
"1060",3426153,4
"1061",3427010,4
"1062",3427063,2
"1063",3427116,3
"1064",3427187,2
"1065",3428208,3
"1066",3428267,3
"1067",3428324,3
"1068",3428743,3
"1069",3428928,2
"1070",3431086,3
"1071",3431201,3
"1072",3431447,2
"1073",3431639,3
"1074",3432285,1
"1075",3433484,4
"1076",3433877,3
"1077",3434557,3
"1078",3434812,4
"1079",3434913,2
"1080",3435106,3
"1081",3435741,3
"1082",3435999,3
"1083",3440137,3
"1084",3441167,4
"1085",3443602,3
"1086",3444026,3
"1087",3445604,4
"1088",3447039,2
"1089",3449193,3
"1090",3449711,4
"1091",3449730,4
"1092",3449846,1
"1093",3449882,2
"1094",3450247,3
"1095",3451242,3
"1096",3451256,3
"1097",3451267,3
"1098",3451475,2
"1099",3452884,3
"1100",3455164,2
"1101",3456387,3
"1102",3457252,3
"1103",3460100,2
"1104",3460753,3
"1105",3460921,4
"1106",3462174,2
"1107",3462473,3
"1108",3463540,1
"1109",3463701,3
"1110",3463916,4
"1111",3464225,3
"1112",3465255,2
"1113",3465490,3
"1114",3466353,2
"1115",3467300,4
