"","features.fire_fly_id","fit.cluster"
"1",157602,1
"2",163342,1
"3",164038,3
"4",172341,1
"5",186718,3
"6",202085,3
"7",222970,1
"8",249430,1
"9",263422,1
"10",284009,1
"11",295112,3
"12",445409,1
"13",584489,1
"14",586691,1
"15",587257,3
"16",587720,2
"17",588023,1
"18",588103,1
"19",588570,3
"20",588817,1
"21",591589,1
"22",593549,1
"23",595732,3
"24",596728,3
"25",597631,1
"26",599515,3
"27",601268,1
"28",602764,1
"29",606912,2
"30",614148,1
"31",634625,1
"32",637614,1
"33",638866,1
"34",639500,1
"35",646505,1
"36",648409,1
"37",2361483,1
"38",2386543,1
"39",2388932,1
"40",2394169,1
"41",2394994,2
"42",2397084,1
"43",2400082,2
"44",2403751,3
"45",2420606,1
"46",2423488,1
"47",2435362,3
"48",2437974,1
"49",2444124,1
"50",2464248,1
"51",2470105,1
"52",2474781,3
"53",2479826,1
"54",2480960,3
"55",2483323,1
"56",2490732,1
"57",2494201,1
"58",2511770,1
"59",2513569,3
"60",2524238,1
"61",2528788,3
"62",2537533,1
"63",2538923,1
"64",2541061,1
"65",2547093,1
"66",2550216,1
"67",2550733,3
"68",2554287,3
"69",2561437,1
"70",2601448,3
"71",2603094,3
"72",2606287,1
"73",2606601,2
"74",2607294,1
"75",2611706,3
"76",2621764,1
"77",2629405,1
"78",2630258,1
"79",2638702,1
"80",2639125,1
"81",2642052,3
"82",2650872,1
"83",2653307,3
"84",2660604,1
"85",2672800,1
"86",2685312,1
"87",2685503,2
"88",2687404,1
"89",2688060,1
"90",2692656,1
"91",2693121,1
"92",2695914,1
"93",2696336,1
"94",2698184,3
"95",2700683,1
"96",2701734,1
"97",2702483,1
"98",2702865,1
"99",2704708,1
"100",2707029,1
"101",2710940,1
"102",2712607,1
"103",2725581,3
"104",2732435,1
"105",2733541,1
"106",2734627,1
"107",2735876,3
"108",2756368,3
"109",2758674,1
"110",2765622,1
"111",2770543,3
"112",2776045,1
"113",2778618,1
"114",2786821,1
"115",2792078,3
"116",2806513,3
"117",2811929,1
"118",2814943,3
"119",2821276,1
"120",2821675,3
"121",2834446,1
"122",2834990,1
"123",2853377,1
"124",2855340,1
"125",2865352,1
"126",2869006,3
"127",2873980,1
"128",2875288,1
"129",2875498,2
"130",2875814,2
"131",2877060,3
"132",2878031,1
"133",2878485,1
"134",2880996,1
"135",2885121,1
"136",2892953,1
"137",2902537,3
"138",2908577,1
"139",2916407,1
"140",2944976,1
"141",2953589,1
"142",2953991,1
"143",2958764,1
"144",2965416,1
"145",2966771,1
"146",2969646,1
"147",2970610,1
"148",2986148,1
"149",2986923,1
"150",2996511,1
"151",3008370,1
"152",3012151,1
"153",3012376,1
"154",3016748,3
"155",3018651,1
"156",3021451,1
"157",3028843,3
"158",3034002,3
"159",3035612,1
"160",3036403,3
"161",3064824,3
"162",3065097,1
"163",3067510,1
"164",3088933,1
"165",3090320,3
"166",3105488,1
"167",3112401,1
"168",3145943,1
"169",3149644,3
"170",3150918,1
"171",3151121,3
"172",3152213,1
"173",3152947,1
"174",3152986,3
"175",3153062,1
"176",3153429,1
"177",3153597,3
"178",3155230,2
"179",3155295,3
"180",3155398,2
"181",3155555,2
"182",3155560,1
"183",3155581,2
"184",3155623,2
"185",3155705,3
"186",3155718,2
"187",3155731,2
"188",3155777,1
"189",3155850,1
"190",3160086,1
"191",3160339,1
"192",3160445,2
"193",3160477,3
"194",3160512,1
"195",3160561,3
"196",3160706,3
"197",3160755,3
"198",3160763,2
"199",3160805,2
"200",3160816,3
"201",3160845,3
"202",3160892,3
"203",3161220,2
"204",3161349,2
"205",3161355,2
"206",3161375,2
"207",3161401,1
"208",3161412,3
"209",3161416,3
"210",3161595,3
"211",3161707,2
"212",3161713,2
"213",3161833,1
"214",3162002,2
"215",3162050,3
"216",3162129,2
"217",3162203,3
"218",3162213,3
"219",3162244,2
"220",3162261,2
"221",3162347,3
"222",3162357,1
"223",3162358,2
"224",3162376,3
"225",3162413,3
"226",3162416,1
"227",3162432,2
"228",3162486,3
"229",3162504,2
"230",3162551,3
"231",3162625,2
"232",3162686,2
"233",3162706,1
"234",3162731,2
"235",3162773,2
"236",3162807,3
"237",3162856,1
"238",3162894,2
"239",3162933,3
"240",3162981,2
"241",3163064,3
"242",3163085,2
"243",3163135,2
"244",3163136,1
"245",3163345,3
"246",3163496,2
"247",3163541,3
"248",3163622,1
"249",3163666,3
"250",3163789,2
"251",3163897,2
"252",3163930,2
"253",3163988,3
"254",3164032,3
"255",3164061,3
"256",3164165,1
"257",3164171,3
"258",3164303,2
"259",3164304,2
"260",3164343,1
"261",3164391,3
"262",3164410,2
"263",3164507,2
"264",3164628,2
"265",3164758,2
"266",3164787,2
"267",3164799,2
"268",3164904,2
"269",3165041,2
"270",3165086,3
"271",3165112,3
"272",3165291,3
"273",3165325,3
"274",3165336,3
"275",3165344,3
"276",3165397,2
"277",3165416,3
"278",3165421,2
"279",3165554,1
"280",3165618,2
"281",3165696,3
"282",3165721,3
"283",3165736,3
"284",3165752,1
"285",3165848,1
"286",3166029,2
"287",3166046,3
"288",3166212,1
"289",3166219,2
"290",3166222,1
"291",3166338,1
"292",3166462,3
"293",3166537,3
"294",3166569,2
"295",3166692,2
"296",3166912,3
"297",3166991,2
"298",3167030,3
"299",3167138,2
"300",3167180,2
"301",3167234,3
"302",3167244,3
"303",3167333,3
"304",3167335,2
"305",3167379,2
"306",3167557,2
"307",3167681,2
"308",3167753,2
"309",3167931,1
"310",3168004,3
"311",3168240,3
"312",3168247,1
"313",3168292,1
"314",3168340,3
"315",3168407,1
"316",3168471,2
"317",3168601,2
"318",3168661,3
"319",3168734,2
"320",3168765,2
"321",3168794,2
"322",3168950,3
"323",3168995,3
"324",3169136,2
"325",3169357,1
"326",3169361,3
"327",3169564,3
"328",3169567,3
"329",3169617,2
"330",3169718,2
"331",3169764,1
"332",3169993,2
"333",3170183,2
"334",3170225,3
"335",3170257,3
"336",3170370,3
"337",3170416,2
"338",3170471,2
"339",3170560,3
"340",3170565,3
"341",3170696,2
"342",3170726,2
"343",3170734,2
"344",3170745,3
"345",3170918,3
"346",3170950,3
"347",3170961,2
"348",3171122,2
"349",3171170,2
"350",3171205,2
"351",3171207,3
"352",3171418,2
"353",3171598,2
"354",3171659,1
"355",3171686,3
"356",3171721,2
"357",3171883,2
"358",3171910,3
"359",3171924,3
"360",3171935,3
"361",3171992,2
"362",3172036,3
"363",3172141,2
"364",3172208,1
"365",3172377,3
"366",3172699,2
"367",3172789,2
"368",3172812,2
"369",3172832,3
"370",3172864,2
"371",3172929,3
"372",3172951,2
"373",3173151,3
"374",3173307,1
"375",3173405,1
"376",3173543,2
"377",3173603,2
"378",3173811,2
"379",3173852,2
"380",3173880,3
"381",3173929,2
"382",3173980,3
"383",3174037,3
"384",3174457,1
"385",3174488,1
"386",3174635,2
"387",3174711,3
"388",3174755,2
"389",3174781,1
"390",3174844,3
"391",3174965,1
"392",3174992,1
"393",3175032,2
"394",3175036,2
"395",3175072,1
"396",3175110,3
"397",3175154,3
"398",3175214,3
"399",3175242,1
"400",3175528,2
"401",3175580,2
"402",3175583,2
"403",3175695,1
"404",3175705,2
"405",3175864,2
"406",3175937,2
"407",3176032,2
"408",3176115,3
"409",3176230,1
"410",3176250,2
"411",3176449,3
"412",3176457,3
"413",3176477,3
"414",3176673,3
"415",3176702,2
"416",3177052,2
"417",3177105,3
"418",3177167,1
"419",3177183,2
"420",3177196,1
"421",3177222,3
"422",3177326,3
"423",3177388,2
"424",3177411,1
"425",3177414,3
"426",3177531,3
"427",3177577,2
"428",3177693,3
"429",3177748,3
"430",3177750,2
"431",3177919,2
"432",3178155,2
"433",3178565,3
"434",3178584,3
"435",3178612,2
"436",3178666,2
"437",3178681,2
"438",3178684,3
"439",3178729,1
"440",3178863,2
"441",3178954,3
"442",3179015,2
"443",3179019,3
"444",3179040,3
"445",3179287,2
"446",3179598,2
"447",3179604,2
"448",3179658,2
"449",3179775,2
"450",3179918,3
"451",3179956,1
"452",3179991,2
"453",3180038,3
"454",3180060,2
"455",3180125,1
"456",3180136,2
"457",3180230,3
"458",3180315,2
"459",3180360,3
"460",3180475,3
"461",3180650,2
"462",3180654,2
"463",3180670,3
"464",3180682,3
"465",3180726,1
"466",3180973,1
"467",3180977,3
"468",3181193,3
"469",3181344,2
"470",3181360,3
"471",3181374,3
"472",3181432,1
"473",3181460,2
"474",3181476,1
"475",3181589,3
"476",3181751,3
"477",3181770,3
"478",3181858,3
"479",3181911,2
"480",3182111,2
"481",3182124,2
"482",3182155,2
"483",3182301,3
"484",3182378,1
"485",3182398,3
"486",3182415,2
"487",3182547,2
"488",3182566,1
"489",3182736,3
"490",3182907,2
"491",3182918,2
"492",3182991,2
"493",3183115,2
"494",3183250,2
"495",3187146,1
"496",3187242,3
"497",3187334,2
"498",3187371,3
"499",3187655,3
"500",3187732,3
"501",3187830,2
"502",3188109,1
"503",3188126,1
"504",3188213,2
"505",3188474,1
"506",3188520,3
"507",3188575,2
"508",3188955,3
"509",3189034,1
"510",3189153,3
"511",3189205,2
"512",3189217,3
"513",3189218,2
"514",3189490,2
"515",3189499,3
"516",3189630,1
"517",3189637,3
"518",3189723,2
"519",3189759,3
"520",3189806,1
"521",3189820,1
"522",3189931,2
"523",3189934,2
"524",3189935,2
"525",3189945,2
"526",3189954,1
"527",3190032,2
"528",3190070,2
"529",3190087,1
"530",3190178,2
"531",3190210,2
"532",3190394,3
"533",3190408,3
"534",3190508,1
"535",3190770,1
"536",3190925,3
"537",3190952,2
"538",3190993,2
"539",3191055,1
"540",3191398,2
"541",3191442,2
"542",3191702,3
"543",3191875,3
"544",3191879,3
"545",3191898,2
"546",3191967,3
"547",3192047,2
"548",3192067,1
"549",3192081,2
"550",3192161,3
"551",3192433,3
"552",3192447,3
"553",3192670,2
"554",3192726,2
"555",3192817,1
"556",3193039,3
"557",3193145,2
"558",3193328,2
"559",3193523,3
"560",3193560,2
"561",3193824,2
"562",3193852,1
"563",3193979,2
"564",3194130,3
"565",3194134,1
"566",3194310,3
"567",3194489,1
"568",3194761,2
"569",3194813,1
"570",3194822,3
"571",3194830,2
"572",3194972,3
"573",3195201,2
"574",3195358,3
"575",3195456,2
"576",3195901,2
"577",3196141,1
"578",3196432,3
"579",3196467,1
"580",3196509,2
"581",3196554,2
"582",3196644,2
"583",3196733,2
"584",3196738,1
"585",3197059,2
"586",3197121,2
"587",3197152,3
"588",3197224,2
"589",3197503,2
"590",3197599,2
"591",3198276,2
"592",3198502,2
"593",3198626,1
"594",3198693,2
"595",3198766,2
"596",3199121,2
"597",3199129,3
"598",3199151,3
"599",3199188,3
"600",3199338,2
"601",3199528,3
"602",3200026,2
"603",3200234,3
"604",3200380,1
"605",3200729,2
"606",3200831,2
"607",3201085,3
"608",3201356,1
"609",3201743,3
"610",3202104,2
"611",3202145,2
"612",3202426,2
"613",3202428,2
"614",3202496,3
"615",3202645,1
"616",3202882,1
"617",3203044,3
"618",3203059,2
"619",3203207,1
"620",3203234,2
"621",3203456,3
"622",3203510,1
"623",3203519,2
"624",3203621,2
"625",3203864,2
"626",3203932,2
"627",3204100,1
"628",3204250,3
"629",3204644,1
"630",3205013,2
"631",3205133,2
"632",3205340,2
"633",3205416,3
"634",3205477,2
"635",3205545,1
"636",3205879,2
"637",3206105,2
"638",3206182,3
"639",3206249,2
"640",3206383,1
"641",3206591,3
"642",3206635,2
"643",3206695,3
"644",3207083,2
"645",3207130,2
"646",3207254,2
"647",3207528,2
"648",3215375,1
"649",3215454,3
"650",3215701,1
"651",3216050,3
"652",3216207,1
"653",3216253,2
"654",3216257,1
"655",3216260,3
"656",3216653,3
"657",3217024,2
"658",3217148,3
"659",3217297,3
"660",3217409,1
"661",3217419,1
"662",3217864,3
"663",3217899,3
"664",3218041,2
"665",3218284,3
"666",3218342,3
"667",3218442,3
"668",3219221,3
"669",3219280,2
"670",3219374,2
"671",3219423,2
"672",3223311,1
"673",3223707,2
"674",3223772,1
"675",3224275,3
"676",3224843,2
"677",3225494,2
"678",3225676,2
"679",3228137,2
"680",3230030,2
"681",3230199,2
"682",3235216,2
"683",3238043,3
"684",3238187,1
"685",3241277,3
"686",3241561,3
"687",3241602,3
"688",3241619,2
"689",3241755,3
"690",3242073,1
"691",3242111,3
"692",3242340,2
"693",3242481,1
"694",3242513,1
"695",3242598,1
"696",3242755,2
"697",3243351,1
"698",3243673,3
"699",3243713,3
"700",3243922,3
"701",3243934,3
"702",3244354,1
"703",3244508,2
"704",3244649,2
"705",3244714,3
"706",3244854,3
"707",3245114,1
"708",3245392,2
"709",3245673,1
"710",3245807,3
"711",3245945,3
"712",3245977,3
"713",3246243,2
"714",3246513,3
"715",3246528,2
"716",3246574,1
"717",3247077,2
"718",3247086,3
"719",3247282,3
"720",3247381,1
"721",3247482,2
"722",3247674,1
"723",3248189,1
"724",3248257,2
"725",3248262,1
"726",3248483,3
"727",3248577,2
"728",3248715,3
"729",3249196,3
"730",3249317,2
"731",3249411,2
"732",3249448,3
"733",3249819,2
"734",3249902,3
"735",3250039,1
"736",3250212,2
"737",3250414,3
"738",3250463,2
"739",3250952,3
"740",3251166,3
"741",3251409,3
"742",3251633,2
"743",3251871,3
"744",3251977,3
"745",3251993,3
"746",3252110,1
"747",3252811,2
"748",3253197,3
"749",3253657,3
"750",3253658,3
"751",3253672,3
"752",3253691,3
"753",3253768,2
"754",3254236,3
"755",3254570,3
"756",3254615,1
"757",3254721,3
"758",3254741,1
"759",3254767,1
"760",3255070,3
"761",3255081,2
"762",3255424,3
"763",3255444,2
"764",3255558,2
"765",3255612,2
"766",3255779,2
"767",3255928,2
"768",3255973,2
"769",3256074,3
"770",3256680,3
"771",3257101,3
"772",3257571,1
"773",3257621,3
"774",3257711,3
"775",3259140,2
"776",3259492,1
"777",3259699,3
"778",3260234,3
"779",3260764,2
"780",3261325,3
"781",3261338,2
"782",3261687,2
"783",3261940,2
"784",3262141,2
"785",3262190,2
"786",3262664,2
"787",3262736,3
"788",3262746,2
"789",3263127,3
"790",3263188,3
"791",3263640,2
"792",3263917,2
"793",3264584,1
"794",3264768,3
"795",3264850,2
"796",3264902,2
"797",3265506,1
"798",3265538,3
"799",3265692,3
"800",3266027,2
"801",3266224,3
"802",3266310,2
"803",3266402,2
"804",3266739,1
"805",3267100,2
"806",3267235,3
"807",3268083,3
"808",3268569,3
"809",3268664,3
"810",3268753,1
"811",3269672,2
"812",3270846,3
"813",3270986,1
"814",3271458,3
"815",3271557,1
"816",3271601,2
"817",3271616,3
"818",3273195,3
"819",3273230,3
"820",3273479,1
"821",3273998,2
"822",3274465,3
"823",3275482,3
"824",3275783,1
"825",3276079,2
"826",3276092,3
"827",3276393,2
"828",3276410,2
"829",3276988,2
"830",3277137,3
"831",3277290,2
"832",3277979,3
"833",3278053,1
"834",3278062,3
"835",3278234,3
"836",3278244,3
"837",3278456,1
"838",3278765,3
"839",3278844,3
"840",3278877,3
"841",3278887,3
"842",3278911,2
"843",3278917,2
"844",3279084,2
"845",3279807,3
"846",3280066,1
"847",3280218,2
"848",3280291,3
"849",3280320,1
"850",3280471,2
"851",3280747,3
"852",3280886,1
"853",3281016,3
"854",3281543,3
"855",3282433,3
"856",3283415,2
"857",3284005,1
"858",3284110,1
"859",3284144,1
"860",3284181,1
"861",3284259,3
"862",3284311,2
"863",3285285,1
"864",3285439,2
"865",3285668,3
"866",3286712,1
"867",3287210,2
"868",3289338,2
"869",3289854,2
"870",3290218,3
"871",3290313,2
"872",3291370,1
"873",3291604,3
"874",3292546,1
"875",3293244,3
"876",3293663,3
"877",3294687,2
"878",3295263,2
"879",3295659,1
"880",3295732,1
"881",3296463,2
"882",3296545,3
